Date,Open,High,Low,Close,Volume
2017-01-03,33.52758879989708,33.82064583363899,33.216215264856885,33.518428802490234,20196500
2017-01-04,33.61916571672965,33.674115217198455,33.280319197626675,33.344425201416016,15915700
2017-01-05,33.381056984747175,33.628324487569316,33.252844981842756,33.28947448730469,13986000
2017-01-06,33.509274019217735,33.59169653253455,33.142950961472856,33.40853500366211,15114000
2017-01-09,33.40853618332397,33.7840157586887,33.40853618332397,33.527591705322266,19461400
2017-01-10,33.47263840672435,33.820644935115546,33.45432190591268,33.46348190307617,15918800
2017-01-11,33.43600651078026,33.88475206171736,33.43600651078026,33.83896255493164,22398400
2017-01-12,33.72907398841978,33.72907398841978,33.262011839846515,33.61917495727539,20391900
2017-01-13,33.61916640144718,33.75653840865943,33.53674389582288,33.69243240356445,15072200
2017-01-17,33.58253597588573,33.72906799135804,33.50927346166511,33.70159149169922,20195200
2017-01-18,33.784018299506876,33.89391383156953,33.52759422685537,33.66496276855469,15382500
2017-01-19,33.43600965805604,33.80233273385405,33.43600965805604,33.49095916748047,13654500
2017-01-20,33.66495464701586,33.91222215464148,33.50011313544724,33.82979965209961,23950900
2017-01-23,33.94886242617339,34.07707445903151,33.47264380876049,33.67412185668945,27752600
2017-01-24,33.73823037771712,34.562455640872194,33.710757366784,34.45255661010742,35140900
2017-01-25,34.68150332147401,34.800558843068906,34.360973255852024,34.61739730834961,32276400
2017-01-26,34.635709602036684,34.72728861150926,34.269386577115846,34.39760208129883,34144800
2017-01-27,34.80056214054538,35.21267475933399,34.62656058750842,34.78224563598633,44368600
2017-01-30,34.562450652426584,34.65402967133003,34.18697108529745,34.26939010620117,23954700
2017-01-31,34.08623273780795,34.22360126886087,33.555064635892684,33.71990966796875,27059100
2017-02-01,33.719908084221515,33.838963600354845,32.987265472469375,33.445167541503906,28380600
2017-02-02,33.20705811960106,33.61001419574259,33.15211210450227,33.591697692871094,31916900
2017-02-03,33.84072972314345,33.96063517897535,33.61936959379081,33.68393325805664,21038100
2017-02-06,33.674706371967126,33.674706371967126,33.34266619267855,33.453346252441406,21427000
2017-02-07,33.61936261237881,33.68392626323733,33.42567165980324,33.52712631225586,18581900
2017-02-08,33.51791503859863,33.80384238169682,33.333445898485486,33.5548095703125,20807400
2017-02-09,33.66548584248118,33.66548584248118,32.65091096419969,32.70624923706055,47802700
2017-02-10,32.52177674845429,32.67857671504538,32.13439480473884,32.59556579589844,44106500
